City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Saint Anthony,US,45.0205,-93.218,35.53,87,100,11.5,overcast clouds
280,Cidreira,BR,-30.1811,-50.2056,73.67,86,98,12.26,overcast clouds
281,Sembakung,ID,3.8167,117.25,88.29,62,100,0.31,overcast clouds
282,Surt,LY,31.2089,16.5887,57.54,40,0,17.34,clear sky
283,Marienburg,PL,54.0359,19.0266,37.04,88,100,4.61,overcast clouds
284,Castro,BR,-24.7911,-50.0119,64.13,99,100,3.04,overcast clouds
285,Sena Madureira,BR,-9.0656,-68.6569,71.47,96,55,1.95,broken clouds
286,Cortez,US,37.3489,-108.5859,25.7,93,100,9.22,mist
287,Piranshahr,IR,36.701,45.1413,28.58,75,4,2.91,clear sky
288,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,77,18,8.46,few clouds
289,Merritt Island,US,28.5392,-80.672,60.04,85,0,0.0,clear sky
290,Adrar,MR,20.5022,-10.0711,62.58,17,100,8.37,overcast clouds
291,Liaozhong,CN,41.5061,122.7242,27.86,37,0,18.21,clear sky
292,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,88,0,1.14,clear sky
293,Ambad,IN,19.6167,75.8,71.89,41,5,5.95,clear sky
294,Sabinas,MX,27.85,-101.1167,67.08,50,57,2.8,broken clouds
295,Lukh,RU,57.0124,42.2584,21.92,89,100,13.11,overcast clouds
296,Jardim,BR,-21.4803,-56.1381,71.83,93,100,2.42,overcast clouds
297,Cedar City,US,37.6775,-113.0619,27.57,86,100,4.61,mist
298,Santa Cruz De La Palma,ES,28.6835,-17.7642,62.74,67,100,6.91,overcast clouds
299,Wuwei,CN,37.9281,102.6414,21.52,36,12,4.83,few clouds
300,Naze,JP,28.3667,129.4833,59.92,66,95,14.25,overcast clouds
301,Burgeo,CA,47.6167,-57.6152,38.71,93,100,10.71,overcast clouds
302,Rodrigues Alves,BR,-7.738,-72.6509,77.2,90,86,2.82,overcast clouds
303,Shieli,KZ,44.1667,66.75,24.1,46,0,11.9,clear sky
304,Trang,TH,7.5,99.5,87.84,66,20,5.75,few clouds
305,Haines Junction,CA,60.7522,-137.5108,16.05,97,100,0.31,light snow
306,Carballo,ES,43.213,-8.691,47.86,74,99,13.47,overcast clouds
